"Back Diagonal"	gold pick:	open	o54	o55	o56	o57	o58	o59	o60
	FALSE								
s76	86	14.40 	10.75 	9.65 	9.50 	8.40 	6.35 	4.90 	3.45 
	90	9.65 	6.00 	4.90 	4.75 	3.65 	1.60 	0.15 	-1.30 
	95	3.55 	-0.10 	-1.20 	-1.35 	-2.45 	-4.50 	-5.95 	-7.40 
c79(83)	86	17.20 	13.55 	12.45 	12.30 	11.20 	9.15 	7.70 	6.25 
	90	12.45 	8.80 	7.70 	7.55 	6.45 	4.40 	2.95 	1.50 
	95	6.35 	2.70 	1.60 	1.45 	0.35 	-1.70 	-3.15 	-4.60 
	99	1.15 	-2.50 	-3.60 	-3.75 	-4.85 	-6.90 	-8.35 	-9.80 
c82(86)	86(h*)	17.25 	13.60 	12.50 	12.35 	11.25 	9.20 	7.75 	6.30 
	90	13.80 	10.15 	9.05 	8.90 	7.80 	5.75 	4.30 	2.85 
	95	7.70 	4.05 	2.95 	2.80 	1.70 	-0.35 	-1.80 	-3.25 
	99	2.50 	-1.15 	-2.25 	-2.40 	-3.50 	-5.55 	-7.00 	-8.45 
m85	90	13.60 	9.95 	8.85 	8.70 	7.60 	5.55 	4.10 	2.65 
	95	7.50 	3.85 	2.75 	2.60 	1.50 	-0.55 	-2.00 	-3.45 
	99	2.30 	-1.35 	-2.45 	-2.60 	-3.70 	-5.75 	-7.20 	-8.65 
m88	90(m>)	14.10 	10.45 	9.35 	9.20 	8.10 	6.05 	4.60 	3.15 
	95	8.70 	5.05 	3.95 	3.80 	2.70 	0.65 	-0.80 	-2.25 
	99	3.50 	-0.15 	-1.25 	-1.40 	-2.50 	-4.55 	-6.00 	-7.45 
m91	90(u)	13.30 	9.65 	8.55 	8.40 	7.30 	5.25 	3.80 	2.35 
	95(h*)	9.70 	6.05 	4.95 	4.80 	3.70 	1.65 	0.20 	-1.25 
	99	4.60 	0.95 	-0.15 	-0.30 	-1.40 	-3.45 	-4.90 	-6.35 
t94	86(u)	16.85 	13.20 	12.10 	11.95 	10.85 	8.80 	7.35 	5.90 
	90(u)	13.85 	10.20 	9.10 	8.95 	7.85 	5.80 	4.35 	2.90 
	95(m>>)	9.00 	5.35 	4.25 	4.10 	3.00 	0.95 	-0.50 	-1.95 
	99	5.85 	2.20 	1.10 	0.95 	-0.15 	-2.20 	-3.65 	-5.10 
	104	0.40 	-3.25 	-4.35 	-4.50 	-5.60 	-7.65 	-9.10 	-10.55 
t97	86(m)	17.80 	14.15 	13.05 	12.90 	11.80 	9.75 	8.30 	6.85 
	90(u)	13.85 	10.20 	9.10 	8.95 	7.85 	5.80 	4.35 	2.90 
	95(u)	9.95 	6.30 	5.20 	5.05 	3.95 	1.90 	0.45 	-1.00 
	99(m^)	5.85 	2.20 	1.10 	0.95 	-0.15 	-2.20 	-3.65 	-5.10 
	104	1.50 	-2.15 	-3.25 	-3.40 	-4.50 	-6.55 	-8.00 	-9.45 
t100	86(m)	17.80 	14.15 	13.05 	12.90 	11.80 	9.75 	8.30 	6.85 
	90(m)	14.80 	11.15 	10.05 	9.90 	8.80 	6.75 	5.30 	3.85 
	95(u)	9.95 	6.30 	5.20 	5.05 	3.95 	1.90 	0.45 	-1.00 
	99(u)	5.25 	1.60 	0.50 	0.35 	-0.75 	-2.80 	-4.25 	-5.70 
	104(h*)	2.60 	-1.05 	-2.15 	-2.30 	-3.40 	-5.45 	-6.90 	-8.35 
103	86(m)	18.20 	14.55 	13.45 	13.30 	12.20 	10.15 	8.70 	7.25 
	90(m)	15.20 	11.55 	10.45 	10.30 	9.20 	7.15 	5.70 	4.25 
	94(m)	11.30 	7.65 	6.55 	6.40 	5.30 	3.25 	1.80 	0.35 
	99(u)	6.25 	2.60 	1.50 	1.35 	0.25 	-1.80 	-3.25 	-4.70 
	104(h**)	2.45 	-1.20 	-2.30 	-2.45 	-3.55 	-5.60 	-7.05 	-8.50 
